,product_details,cost,barcode,discount,in_stock,wholesale_cost
378,Vim liquid 500ml,125,8901030760587,0,25,11
379,Vim liquid 500ml,125,8901030962783,0,25,11
380,SurfXL big bar 250g,35,8901030865169,0,25,11
381,Rin big bar 250g,25,8901030739552,0,25,11
382,Chakravarthi 175g,10,8908002378139,0,25,11
383,Rin bar 145ml,10,8901030968266,0,25,11
384,XXX bar 150g,10,8906056351320,0,25,11
385,Abhi Attukulu 500g,55,5670129021146,0,25,11
386,AASHIRVAAD salt 1kg,28,8901725123123,0,25,11
387,Gajraj  1kg,65,8904289700793,0,25,11
388,Gajraj 500g,34,8904289700823,0,25,11
389,Every day 200g,127,8901058869385,0,25,11
390,Sooji 500g,42,8906020750074,0,25,11
391,Spicy beats 456g,100,8906071881741,0,25,11
392,Alpenible gold 144g,50,8901393015829,0,25,11
393,India gate  1kg,167,690225101134,0,25,11
394,Alpnlibe gold 144g,50,8901393015836,0,25,11
395,Alpnlibe juicyfls 144g,50,8901393020946,0,25,11
396,Melody  391g,100,8901719220173,0,25,11
397,Dabur red paste 50g,25,8901207042713,0,25,11
398,Fair & lovely  15g,22,8901030966040,0,25,11
399,Fair &lovely 9g,10,8901030942648,0,25,11
400,Colgate  36g,20,8901314776334,0,25,11
401,Pepsodent 42g,20,8901030970405,0,25,11
402,Vim bar 60g,5,8901030862243,0,25,11
403,RKS Henna  10g,25,8906010540029,0,25,11
404,Gopuram kumkum 40g,12,8906048283233,0,25,11
405,Brtnia Fruit Cake 110g,30,8901063363977,0,25,11
406,Kurkure Green 36g,10,8901491363020,0,25,11
